mode: set
zgener\zgener.go:118.20,123.2 4 1
zgener\zgener.go:125.69,131.16 3 1
zgener\zgener.go:135.2,136.16 2 1
zgener\zgener.go:141.2,145.12 3 1
zgener\zgener.go:131.16,133.3 1 0
zgener\zgener.go:136.16,138.3 1 0
zgener\zgener.go:148.59,150.2 1 1
zgener\zgener.go:152.76,153.53 1 1
zgener\zgener.go:153.53,154.24 1 1
zgener\zgener.go:157.3,157.21 1 1
zgener\zgener.go:160.3,160.27 1 1
zgener\zgener.go:163.3,163.28 1 1
zgener\zgener.go:154.24,156.4 1 1
zgener\zgener.go:157.21,159.4 1 1
zgener\zgener.go:160.27,162.4 1 1
zgener\zgener.go:167.101,168.53 1 1
zgener\zgener.go:168.53,169.24 1 1
zgener\zgener.go:172.3,172.21 1 1
zgener\zgener.go:175.3,175.27 1 1
zgener\zgener.go:178.3,178.33 1 1
zgener\zgener.go:169.24,171.4 1 1
zgener\zgener.go:172.21,174.4 1 1
zgener\zgener.go:175.27,177.4 1 1
zgener\zgener.go:182.36,185.2 1 1
zgener\zgener.go:187.73,189.41 1 1
zgener\zgener.go:198.2,200.16 2 1
zgener\zgener.go:204.2,210.16 4 1
zgener\zgener.go:215.2,215.12 1 1
zgener\zgener.go:189.41,190.25 1 0
zgener\zgener.go:190.25,192.4 1 0
zgener\zgener.go:192.4,194.4 1 0
zgener\zgener.go:200.16,202.3 1 0
zgener\zgener.go:210.16,212.3 1 0
zgener\zgener.go:219.85,222.21 2 1
zgener\zgener.go:232.2,233.12 2 1
zgener\zgener.go:223.2,227.8 4 1
zgener\zgener.go:228.2,230.8 2 1
zgener\zgener.go:237.9,239.21 2 1
zgener\zgener.go:249.2,251.18 3 1
zgener\zgener.go:240.2,244.8 4 1
zgener\zgener.go:245.2,247.8 2 1
zgener\zgener.go:254.97,261.28 3 1
zgener\zgener.go:266.2,266.14 1 1
zgener\zgener.go:290.2,290.69 1 0
zgener\zgener.go:261.28,264.3 1 0
zgener\zgener.go:267.2,270.8 2 1
zgener\zgener.go:271.2,275.18 3 1
zgener\zgener.go:281.3,282.8 2 1
zgener\zgener.go:283.2,286.8 2 1
zgener\zgener.go:275.18,278.4 2 0
zgener\zgener.go:278.4,280.4 1 1
zgener\zgener.go:293.99,299.12 5 1
zgener\zgener.go:308.2,308.26 1 1
zgener\zgener.go:330.2,332.14 3 1
zgener\zgener.go:343.2,343.69 1 0
zgener\zgener.go:299.12,303.3 3 1
zgener\zgener.go:303.3,306.3 2 1
zgener\zgener.go:308.26,309.17 1 1
zgener\zgener.go:324.3,324.74 1 1
zgener\zgener.go:310.3,312.9 2 1
zgener\zgener.go:313.3,315.9 2 1
zgener\zgener.go:316.3,318.9 2 0
zgener\zgener.go:324.74,326.4 1 1
zgener\zgener.go:333.2,336.8 2 1
zgener\zgener.go:337.2,340.8 2 1
zgener\zgener.go:346.75,348.2 1 1
zgener\zgener.go:353.73,356.2 1 1
zgener\zgener.go:358.72,360.2 1 1
zgener\zgener.go:362.67,365.2 1 0
zgener\zgener.go:367.81,370.2 1 1
